id,date,mood_avg,screen_avg,circumplex.valence_avg,circumplex.arousal_avg,activity_avg,appCat.social_avg,appCat.game_avg,appCat.entertainment_avg,target
AS14.23,2014-04-11,6.709999999999999,45.01736135107022,0.6900000000000001,-0.09,0.3163134934173556,67.61870222222223,52.943416,80.35752269387754,7.0
AS14.23,2014-04-12,6.709999999999999,44.44044916321984,0.7699999999999999,-0.009999999999999998,0.32473479510121495,66.05912222222221,79.41878933333332,90.86226736507936,7.75
AS14.23,2014-04-13,7.109999999999999,43.97766234784018,0.9199999999999999,-0.009999999999999998,0.3139426055406481,65.83946269841269,90.572606,106.37430380952382,7.2
AS14.23,2014-04-14,7.2299999999999995,46.56653610289308,1.0,0.06999999999999999,0.3404388707133839,29.476512698412698,87.14640599999998,133.3623391941392,7.2250000000000005
AS14.23,2014-04-15,7.234999999999999,46.80416435575897,0.96,0.21000000000000002,0.3240133775024113,26.0369126984127,99.23923327272726,123.82607252747252,7.25
AS14.23,2014-04-16,7.284999999999999,41.69328421289965,1.0,0.21000000000000002,0.33104554843704503,13.386357142857142,101.14519505050504,116.60650109890109,7.4
AS14.23,2014-04-17,7.365,44.89901649122096,1.0,0.12999999999999998,0.33766139717451177,19.068026373626374,88.10228838383838,98.02009316239317,7.4
AS14.23,2014-04-18,7.295,50.524464643808095,1.08,0.38,0.3679480233363239,31.837169230769227,84.93087171717171,68.06684871794872,7.6
AS14.23,2014-04-19,7.375,48.383143581307046,1.08,0.34,0.37172026960857024,35.16816923076923,95.67513838383837,31.911333333333328,7.75
AS14.23,2014-04-20,7.4799999999999995,43.63324919405469,1.08,0.27999999999999997,0.3806300733807764,37.91544006410256,73.86151111111111,31.767599999999998,7.75
AS14.23,2014-04-21,7.58,42.92213033362536,1.08,0.38,0.4266586167410874,40.69498173076923,58.89623333333334,35.064342857142854,7.2
AS14.23,2014-04-22,7.540000000000001,40.841545219863335,1.08,0.3,0.433269787933418,34.7421125,52.72501111111111,50.719162857142855,6.2
AS14.23,2014-04-23,7.3,40.95264743073872,0.8800000000000001,0.13999999999999999,0.41623741739116477,21.345012500000003,55.3002,59.887612857142855,7.0
AS14.23,2014-04-24,7.18,44.45353694426022,0.8800000000000001,0.06,0.38738393260101445,26.616562500000004,61.83606666666667,66.13406285714285,7.4
