id,date,mood_t-5,mood_t-4,mood_t-3,mood_t-2,mood_t-1,screen_t-5,screen_t-4,screen_t-3,screen_t-2,screen_t-1,circumplex.valence_t-5,circumplex.valence_t-4,circumplex.valence_t-3,circumplex.valence_t-2,circumplex.valence_t-1,target
AS14.12,2014-04-04,5.8,6.4,6.4,6.0,5.4,43.452901417100925,50.60035526438765,61.258242851211925,52.058217593917135,55.011756591890986,0.3,0.4,0.8,0.4,0.0,6.5
AS14.12,2014-04-05,6.4,6.4,6.0,5.4,6.5,50.60035526438765,61.258242851211925,52.058217593917135,55.011756591890986,54.861511101546114,0.4,0.8,0.4,0.0,0.625,6.2
AS14.12,2014-04-06,6.4,6.0,5.4,6.5,6.2,61.258242851211925,52.058217593917135,55.011756591890986,54.861511101546114,40.71040000915527,0.8,0.4,0.0,0.625,0.4,6.25
AS14.12,2014-04-07,6.0,5.4,6.5,6.2,6.25,52.058217593917135,55.011756591890986,54.861511101546114,40.71040000915527,67.09592857814967,0.4,0.0,0.625,0.4,0.75,6.4
AS14.12,2014-04-08,5.4,6.5,6.2,6.25,6.4,55.011756591890986,54.861511101546114,40.71040000915527,67.09592857814967,65.91710989291853,0.0,0.625,0.4,0.75,1.0,6.25
AS14.12,2014-04-09,6.5,6.2,6.25,6.4,6.25,54.861511101546114,40.71040000915527,67.09592857814967,65.91710989291853,53.1819963792096,0.625,0.4,0.75,1.0,0.25,5.25
AS14.12,2014-04-10,6.2,6.25,6.4,6.25,5.25,40.71040000915527,67.09592857814967,65.91710989291853,53.1819963792096,64.22293114748554,0.4,0.75,1.0,0.25,-0.5,6.4
AS14.12,2014-04-11,6.25,6.4,6.25,5.25,6.4,67.09592857814967,65.91710989291853,53.1819963792096,64.22293114748554,60.968657893046974,0.75,1.0,0.25,-0.5,0.6,6.6
AS14.12,2014-04-12,6.4,6.25,5.25,6.4,6.6,65.91710989291853,53.1819963792096,64.22293114748554,60.968657893046974,55.050326636632306,1.0,0.25,-0.5,0.6,1.0,6.8
AS14.12,2014-04-13,6.25,5.25,6.4,6.6,6.8,53.1819963792096,64.22293114748554,60.968657893046974,55.050326636632306,49.61120000160656,0.25,-0.5,0.6,1.0,0.8,5.6
AS14.12,2014-04-14,5.25,6.4,6.6,6.8,5.6,64.22293114748554,60.968657893046974,55.050326636632306,49.61120000160656,63.89864408767832,-0.5,0.6,1.0,0.8,0.0,6.6
AS14.12,2014-04-15,6.4,6.6,6.8,5.6,6.6,60.968657893046974,55.050326636632306,49.61120000160656,63.89864408767832,62.90158737284466,0.6,1.0,0.8,0.0,0.8,6.8
AS14.12,2014-04-16,6.6,6.8,5.6,6.6,6.8,55.050326636632306,49.61120000160656,63.89864408767832,62.90158737284466,57.00813491571518,1.0,0.8,0.0,0.8,1.0,7.0
AS14.12,2014-04-17,6.8,5.6,6.6,6.8,7.0,49.61120000160656,63.89864408767832,62.90158737284466,57.00813491571518,46.268309229298644,0.8,0.0,0.8,1.0,1.0,6.8
AS14.12,2014-04-18,5.6,6.6,6.8,7.0,6.8,63.89864408767832,62.90158737284466,57.00813491571518,46.268309229298644,63.50589343954305,0.0,0.8,1.0,1.0,0.8,6.6
AS14.12,2014-04-19,6.6,6.8,7.0,6.8,6.6,62.90158737284466,57.00813491571518,46.268309229298644,63.50589343954305,64.1790543405906,0.8,1.0,1.0,0.8,0.8,5.8
AS14.12,2014-04-20,6.8,7.0,6.8,6.6,5.8,57.00813491571518,46.268309229298644,63.50589343954305,64.1790543405906,45.93288029079705,1.0,1.0,0.8,0.8,0.4,6.4
AS14.12,2014-04-21,7.0,6.8,6.6,5.8,6.4,46.268309229298644,63.50589343954305,64.1790543405906,45.93288029079705,51.98933139582014,1.0,0.8,0.8,0.4,1.0,6.0
AS14.12,2014-04-22,6.8,6.6,5.8,6.4,6.0,63.50589343954305,64.1790543405906,45.93288029079705,51.98933139582014,69.21834425457187,0.8,0.8,0.4,1.0,0.75,6.5
AS14.12,2014-04-23,6.6,5.8,6.4,6.0,6.5,64.1790543405906,45.93288029079705,51.98933139582014,69.21834425457187,78.54348192947455,0.8,0.4,1.0,0.75,1.0,5.8
AS14.12,2014-04-24,5.8,6.4,6.0,6.5,5.8,45.93288029079705,51.98933139582014,69.21834425457187,78.54348192947455,52.5351869079554,0.4,1.0,0.75,1.0,0.8,6.6
AS14.12,2014-04-25,6.4,6.0,6.5,5.8,6.6,51.98933139582014,69.21834425457187,78.54348192947455,52.5351869079554,66.04386665026348,1.0,0.75,1.0,0.8,0.6,5.6
AS14.12,2014-04-26,6.0,6.5,5.8,6.6,5.6,69.21834425457187,78.54348192947455,52.5351869079554,66.04386665026348,43.523504594050415,0.75,1.0,0.8,0.6,0.2,7.0
AS14.12,2014-04-27,6.5,5.8,6.6,5.6,7.0,78.54348192947455,52.5351869079554,66.04386665026348,43.523504594050415,42.29408641214721,1.0,0.8,0.6,0.2,1.0,6.0
AS14.12,2014-04-28,5.8,6.6,5.6,7.0,6.0,52.5351869079554,66.04386665026348,43.523504594050415,42.29408641214721,45.45127630547473,0.8,0.6,0.2,1.0,0.75,6.6
AS14.12,2014-04-29,6.6,5.6,7.0,6.0,6.6,66.04386665026348,43.523504594050415,42.29408641214721,45.45127630547473,61.2199076982645,0.6,0.2,1.0,0.75,1.0,6.0
AS14.12,2014-04-30,5.6,7.0,6.0,6.6,6.0,43.523504594050415,42.29408641214721,45.45127630547473,61.2199076982645,44.1622395850718,0.2,1.0,0.75,1.0,1.0,6.25
AS14.12,2014-05-01,7.0,6.0,6.6,6.0,6.25,42.29408641214721,45.45127630547473,61.2199076982645,44.1622395850718,59.62284465669428,1.0,0.75,1.0,1.0,0.75,6.2
AS14.12,2014-05-02,6.0,6.6,6.0,6.25,6.2,45.45127630547473,61.2199076982645,44.1622395850718,59.62284465669428,71.63015104333557,0.75,1.0,1.0,0.75,0.5,5.5
AS14.12,2014-05-03,6.6,6.0,6.25,6.2,5.5,61.2199076982645,44.1622395850718,59.62284465669428,71.63015104333557,90.11472057828716,1.0,1.0,0.75,0.5,0.5,5.6
AS14.12,2014-05-04,6.0,6.25,6.2,5.5,5.6,44.1622395850718,59.62284465669428,71.63015104333557,90.11472057828716,44.274455297284,1.0,0.75,0.5,0.5,0.2,4.8
AS14.12,2014-05-05,6.25,6.2,5.5,5.6,4.8,59.62284465669428,71.63015104333557,90.11472057828716,44.274455297284,63.3404782854992,0.75,0.5,0.5,0.2,-0.2,6.0
AS14.13,2014-03-18,7.0,7.8,7.0,6.4,6.6,83.48246666590373,42.396488382372745,37.98886064427799,68.93105930797121,32.11036733461886,1.0,1.4,0.4,0.2,0.8,7.0
AS14.13,2014-03-19,7.8,7.0,6.4,6.6,7.0,42.396488382372745,37.98886064427799,68.93105930797121,32.11036733461886,29.241638282512103,1.4,0.4,0.2,0.8,0.8,7.8
AS14.13,2014-03-20,7.0,6.4,6.6,7.0,7.8,37.98886064427799,68.93105930797121,32.11036733461886,29.241638282512103,64.63483983371408,0.4,0.2,0.8,0.8,1.2,6.4
